	mean	std	cv	id	range
PF00848	-0.13874999999999998	0.02002676780140591	-0.14433706523535794	-0.002890604890604891	0.059
PF00890	0.01975	0.024188249803808223	1.224721509053581	0.029623869801084987	0.075
PF00970	-0.166875	0.04717880123227259	-0.2827194081334687	-0.013338362760834669	0.141
PF01011	-0.142375	0.025628876013479115	-0.18000966471275937	-0.004613445378151257	0.07599999999999997
PF01070	0.014875	0.06831740522841055	4.592766738044407	0.3137659063625451	0.205
PF01077	0.0075000000000000015	0.029490918699055232	3.9321224932073635	0.11596190476190471	0.093
PF01087	-0.09125	0.015313392831113552	-0.16781800362864166	-0.0025698630136986294	0.040999999999999995
PF01208	-0.24812499999999998	0.015169871456278078	-0.061138020982480924	-0.0009274559193954674	0.04700000000000004
PF01292	0.1385	0.03667229394048241	0.2647819057074542	0.009710159876224858	0.092
PF01370	0.052875	0.0236246693098549	0.4468022564511565	0.010555555555555556	0.06899999999999999
PF01384	0.01625	0.03170736732775433	1.9512226047848817	0.06186813186813187	0.11599999999999999
PF01507	-0.084625	0.06530354945505314	-0.77168152974952	-0.050393542941548845	0.184
PF01515	-0.33399999999999996	0.011301074538037774	-0.03383555250909513	-0.00038237810094097515	0.031000000000000028
PF01553	-0.253625	0.0721782268317214	-0.2845864044621839	-0.020540942054495522	0.20500000000000002
PF01571	-0.07825	0.018537606564571846	-0.2369023203140172	-0.004391602008215427	0.05
PF01583	0.062	0.034973459324791664	0.564088053625672	0.01972811059907834	0.091
PF01613	-0.048625	0.031654101517135866	-0.6509840928973957	-0.02060631656261477	0.11800000000000001
PF02332	-0.022125	0.0018077215335491083	-0.0817049280700162	-0.00014769975786924926	0.005999999999999998
PF02406	-0.021875000000000002	0.0003535533905932741	-0.016162440712835385	-5.714285714285725e-06	0.0010000000000000009
PF02515	-0.175375	0.002774243783705489	-0.015818923927044842	-4.388555136951417e-05	0.0069999999999999785
PF02615	-0.13737500000000002	0.017129235659705148	-0.12468961353743509	-0.0021358377746002865	0.049000000000000016
PF02635	0.37025	0.08314831842642914	0.2245734461213481	0.01867290440821838	0.283
PF02668	-0.14	0.034850701981042335	-0.2489335855788738	-0.00867551020408163	0.09999999999999999
PF02770	-0.24450000000000002	0.0872156604548256	-0.3567102677088981	-0.031110721589249195	0.253
PF02771	-0.26925	0.014508618128546901	-0.05388530409859574	-0.0007818012999071487	0.04799999999999996
PF02775	0.059125	0.04976928915362507	0.8417638757484156	0.041893989731199024	0.127
PF02776	0.019874999999999997	0.056796472475975884	2.857684149734636	0.1623063791554358	0.136
PF02826	0.069375	0.01040518414747462	0.1499846363599945	0.0015606177606177607	0.035
PF02872	-0.19324999999999998	0.02667663504160255	-0.1380420959461969	-0.0036824986139345774	0.08299999999999999
PF02910	0.059875	0.03294340384876549	0.5502029870357493	0.018125559200715773	0.07899999999999999
PF03358	-0.1375	0.028142494558940582	-0.20467268770138602	-0.005760000000000001	0.08200000000000002
PF03404	-0.008625	0.011550355591310351	-1.3391716627606203	-0.015467908902691513	0.031
PF03460	-0.01325	0.02374718028374256	-1.7922400214145329	-0.04256064690026953	0.071
PF03967	0.028124999999999997	0.0009910312089651135	0.03523666520764848	3.492063492063483e-05	0.0029999999999999957
PF04069	-0.241	0.031919541708131445	-0.1324462311540724	-0.004227622999407233	0.101
PF04077	0.050749999999999997	0.021319005605327845	0.42007892818379994	0.008955665024630544	0.061000000000000006
PF04173	-0.067625	0.10046312400933134	-1.4855914825779126	-0.14924716134143123	0.242
PF04295	-0.0915	0.0014142135623730963	-0.015455885927574823	-2.18579234972678e-05	0.0040000000000000036
PF04663	-0.01125	0.0004629100498862753	-0.04114755998989114	-1.9047619047619012e-05	0.0009999999999999992
PF04945	0.105125	0.032782562873750865	0.31184364208086435	0.010223033803295397	0.09799999999999999
PF05239	-0.10450000000000001	0.025640369954986444	-0.24536239191374584	-0.006291182501708818	0.085
PF05398	0.0015	0.0009258200997725515	0.6172133998483676	0.0005714285714285715	0.002
PF06099	-0.01	0.0	-0.0	-0.0	0.0
PF07680	0.13974999999999999	0.015201033799430502	0.10877305044315208	0.0016534628162535136	0.045
PF07682	0.17562499999999998	0.009318759880707609	0.05306055448089742	0.0004944585663446872	0.032999999999999974
PF07992	-0.002625	0.007836498853806736	-2.98533289668828	-0.02339455782312925	0.023000000000000003
PF08669	-0.09125	0.019329843691630235	-0.2118339034699204	-0.004094716242661449	0.053000000000000005
PF09084	-0.03625	0.035066263803588446	-0.9673452083748537	-0.03392118226600986	0.082
PF09459	0.28074999999999994	0.10240919322572001	0.3647700560132503	0.037355807149217664	0.293
PF10518	0.129625	0.0416342492941294	0.3211899656249134	0.013372503099600499	0.105
PF11511	0.00575	0.0014880476182856902	0.25879089013664175	0.0003850931677018635	0.004000000000000001
PF12800	0.316	0.08935003397553115	0.28275327207446566	0.025264014466546112	0.266
PF12806	-0.145125	0.019945908996941847	-0.13743951074550798	-0.0027413559739141134	0.063
PF12831	0.06975	0.05256220804233508	0.7535800436177071	0.03960983102918587	0.15100000000000002
PF12838	0.15812500000000002	0.09092451735996654	0.5750167105768634	0.052283116883116876	0.264
PF12857	-0.089	0.031323199982486734	-0.3519460672189521	-0.011024077046548954	0.095
PF13183	0.1545	0.07343218445808156	0.47528921979340816	0.03490152565880722	0.21500000000000002
PF13187	0.199	0.09886209731597992	0.49679445887427093	0.04911414213926775	0.28700000000000003
PF13193	0.0063750000000000005	0.023868314321950527	3.744049305404004	0.08936414565826331	0.076
PF13360	-0.129125	0.06701905379389186	-0.5190246179585043	-0.03478453879131518	0.21
PF13439	0.116	0.02436625300932184	0.21005390525277445	0.005118226600985221	0.063
PF13442	-0.134125	0.04908429338538813	-0.3659593169460439	-0.01796285448009586	0.166
PF13531	0.166375	0.102359223884737	0.6152319993072096	0.06297466995814104	0.34800000000000003
PF13577	-0.12937500000000002	0.04500138886745608	-0.3478368221639117	-0.01565314009661836	0.125
PF16867	-0.013375	0.0011877349391654197	-0.08880261227405006	-0.00010547396528704921	0.0029999999999999975
