Specie 	Kigdom 	Phylum 	Class 	Order 	Family 	Genus 	S_guild	MEBS_S	MEBS_CH4	MEBS_N	MEBS_O	MEBS_Fe	ROC_Fe	ROC_CH4	ROC_O	ROC_N	ROC_S	CAT_N	CAT_O	CAT_M	Cat_Fe
Thioalkalimicrobium aerophilum AL3	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiotrichales	 Piscirickettsiaceae	 Thioalkalimicrobium	CLSB	2.082	3.672	18.098	5.093	3.44	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Janthinobacterium sp. Marseille	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Janthinobacterium	NS	-0.224	3.668	24.426	4.138	5.32	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thermobispora bispora DSM 43833	 Bacteria	 Actinobacteria	 Actinobacteria incertae sedis	 Thermobispora	0	0	NS	2.493	3.667	22.827	4.83	3.653	ND	ND	ND	ND	NS	ND	ND	ND	ND
Roseburia hominis A2-183	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Roseburia	NS	-0.166	3.66	8.512	1.328	0.985	ND	ND	ND	ND	NS	ND	ND	ND	ND
Ralstonia mannitolilytica	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Ralstonia	NS	0.526	3.65	26.259	5.654	4.51	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pantoea rwandensis	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Pantoea	NS	0.018	3.645	22.688	5.147	5.139	ND	ND	ND	ND	NS	ND	ND	ND	ND
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter	Sur	4.82	3.64	14.76	3.178	7.268	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Gilliamella apicola	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Orbales	 Orbaceae	 Gilliamella	NS	3.696	3.637	12.218	3.033	2.007	ND	ND	ND	ND	NS	ND	ND	ND	ND
Octadecabacter antarcticus 307	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Octadecabacter	NS	0.893	3.634	27.675	5.783	4.136	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudomonas mendocina NK-01	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	0.375	3.631	27.864	5.05	6.835	ND	ND	ND	ND	NS	ND	ND	ND	ND
Cryptobacterium curtum DSM 15641	 Bacteria	 Actinobacteria	 Coriobacteriia	 Eggerthellales	 Eggerthellaceae	 Cryptobacterium	Sur	5.229	3.63	8.546	-0.583	2.628	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Niastella koreensis GR20-10	 Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae	 Niastella	NS	1.331	3.623	25.911	5.52	3.901	ND	ND	ND	ND	NS	ND	ND	ND	ND
Caldivirga maquilingensis IC-167	 Archaea	 Crenarchaeota	 Thermoprotei	 Thermoproteales	 Thermoproteaceae	 Caldivirga	SRB/SR	5.945	3.622	11.92	2.1	2.449	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Bordetella petrii	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Bordetella	NS	0.264	3.613	25.644	4.863	6.983	ND	ND	ND	ND	NS	ND	ND	ND	ND
Phaeobacter gallaeciensis	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Phaeobacter	NS	2.544	3.602	27.826	5.697	4.607	ND	ND	ND	ND	NS	ND	ND	ND	ND
Spirochaeta africana DSM 8902	 Bacteria	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 Spirochaeta	0	NS	0.335	3.597	9.271	1.857	1.559	ND	ND	ND	ND	NS	ND	ND	ND	ND
Synechococcus sp. KORDI-100	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Synechococcus	0	NS	2.524	3.592	21.968	8.624	4.36	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Mannheimia succiniciproducens MBEL55E	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Basfia	NS	3.325	3.592	11.772	2.67	5.857	ND	ND	ND	ND	NS	ND	ND	ND	ND
Shewanella loihica PV-4	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Shewanellaceae	 Shewanella	NS	2.464	3.588	17.868	3.935	9.922	ND	ND	ND	ND	NS	ND	ND	ND	ND
Halotalea alkalilenta	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Halomonadaceae	 Halotalea	NS	-0.97	3.584	24.843	5.483	3.247	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thioalkalivibrio paradoxus ARh 1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Ectothiorhodospiraceae	 Thioalkalivibrio	CLSB	10.256	3.582	22.015	4.637	7.506	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Nocardiopsis alba ATCC BAA-2165	 Bacteria	 Actinobacteria	 Streptosporangiales	 Nocardiopsaceae	 Nocardiopsis	0	NS	3.821	3.579	24.969	4.709	2.67	ND	ND	ND	ND	NS	ND	ND	ND	ND
Burkholderia ubonensis MSMB22	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	NS	-1.089	3.579	28.127	4.417	5.646	ND	ND	ND	ND	NS	ND	ND	ND	ND
Akkermansia muciniphila ATCC BAA-835	 Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Akkermansia	NS	2.28	3.575	12.39	4.072	3.505	ND	ND	ND	ND	NS	ND	ND	ND	ND
Achromobacter denitrificans	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Achromobacter	NS	0.256	3.569	24.675	5.068	7.213	ND	ND	ND	ND	NS	ND	ND	ND	ND
Citrobacter freundii CFNIH1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Citrobacter,	NS	2.271	3.568	23.011	2.331	5.759	ND	ND	ND	ND	NS	ND	ND	ND	ND
Candidatus Kinetoplastibacterium desouzaii TCC079E	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Kinetoplastibacterium	0	0	NS	-0.073	3.566	8.163	1.198	-0.037	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acinetobacter johnsonii XBB1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	NS	-0.77	3.564	18.711	2.893	2.12	ND	ND	ND	ND	NS	ND	ND	ND	ND
Advenella kashmirensis WT001	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	0	NS	-0.025	3.56	20.062	1.319	1.925	ND	ND	ND	ND	NS	ND	ND	ND	ND
Ramlibacter tataouinensis TTB310	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Ramlibacter	NS	0.182	3.557	26.448	4.72	3.918	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acidovorax citrulli AAC00-1	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Acidovorax	NS	-0.804	3.552	25.916	4.015	4.371	ND	ND	ND	ND	NS	ND	ND	ND	ND
Achromobacter xylosoxidans C54	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Achromobacter	NS	0.465	3.549	24.627	5.068	7.213	ND	ND	ND	ND	NS	ND	ND	ND	ND
Myxococcus stipitatus DSM 14675	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacterineae	 Myxococcaceae	NS	-0.039	3.547	24.21	4.741	4.931	ND	ND	ND	ND	NS	ND	ND	ND	ND
Blastococcus saxobsidens DD2	 Bacteria	 Actinobacteria	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	0	NS	1.58	3.543	24.233	4.803	2.571	ND	ND	ND	ND	NS	ND	ND	ND	ND
Ignavibacterium album JCM 16511	 Bacteria	 Ignavibacteriae	 Ignavibacteria	 Ignavibacteriales	 Ignavibacteriaceae	 Ignavibacterium	NS	3.028	3.543	15.217	1.932	6.697	ND	ND	ND	ND	NS	ND	ND	ND	ND
Campylobacter coli CVM N29710	 Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter	Sur	5.635	3.531	13.653	3.136	7.097	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Spiribacter sp. UAH-SP71	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Ectothiorhodospiraceae	 Spiribacter	NS	2.116	3.527	17.98	5.725	3.789	ND	ND	ND	ND	NS	ND	ND	ND	ND
Vibrio fischeri ES114	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Aliivibrio	NS	0.88	3.512	16.883	3.441	8.041	ND	ND	ND	ND	NS	ND	ND	ND	ND
Prochlorococcus marinus str. MIT 9313	 Bacteria	 Cyanobacteria	 Prochlorales	 Prochlorococcaceae	 Prochlorococcus	0	NS	2.839	3.511	18.788	8.105	3.46	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Erwinia amylovora ATCC 49946	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Erwinia	NS	-0.329	3.51	19.837	4.779	4.116	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudomonas savastanoi pv. phaseolicola 1448A	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	-0.779	3.506	25.664	5.113	2.087	ND	ND	ND	ND	NS	ND	ND	ND	ND
Xenorhabdus doucetiae	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Xenorhabdus	NS	0.641	3.501	18.639	3.576	2.758	ND	ND	ND	ND	NS	ND	ND	ND	ND
Candidatus Symbiobacter mobilis CR	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	0	NS	2.667	3.498	12.77	3.183	1.35	ND	ND	ND	ND	NS	ND	ND	ND	ND
Shewanella violacea DSS12	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Shewanellaceae	 Shewanella	NS	1.567	3.48	19.089	3.925	8.71	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bordetella holmesii F627	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Bordetella	NS	-0.958	3.479	21.77	4.224	3.488	ND	ND	ND	ND	NS	ND	ND	ND	ND
Erwinia billingiae Eb661	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Erwinia	NS	0.102	3.478	23.745	4.373	4.295	ND	ND	ND	ND	NS	ND	ND	ND	ND
Prochlorococcus marinus str. MIT 9303	 Bacteria	 Cyanobacteria	 Prochlorales	 Prochlorococcaceae	 Prochlorococcus	0	NS	2.839	3.476	19.053	8.062	3.331	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Pseudomonas saudiphocaensis	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	-0.316	3.476	25.135	5.05	7.69	ND	ND	ND	ND	NS	ND	ND	ND	ND
Dyella jiangningensis	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dyella	NS	1.056	3.469	24.462	4.06	8.986	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pantoea sp. PSNIH2	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Pantoea	NS	0.186	3.465	21.059	3.857	5.97	ND	ND	ND	ND	NS	ND	ND	ND	ND
Alteromonas australica	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Alteromonadaceae	 Alteromonas	NS	0.6	3.463	21.476	5.249	6.143	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acidovorax avenae subsp. avenae ATCC 19860	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Acidovorax	NS	-0.626	3.461	27.158	4.22	4.371	ND	ND	ND	ND	NS	ND	ND	ND	ND
Desulfurococcus kamchatkensis 1221n	 Archaea	 Crenarchaeota	 Thermoprotei	 Desulfurococcales	 Desulfurococcaceae	 Desulfurococcus	SR	4.689	3.46	8.142	-0.204	0.107	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Pseudomonas rhizosphaerae	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	-0.748	3.424	25.584	5.113	5.289	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudopropionibacterium propionicum F0230a	 Bacteria	 Actinobacteria	 Propionibacteriales	 Propionibacteriaceae	 Propionibacterium	0	NS	0.984	3.419	13.854	1.113	4.939	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acetobacter sp. SLV-7	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Acetobacter	NS	0.544	3.418	22.106	4.547	6.296	ND	ND	ND	ND	NS	ND	ND	ND	ND
Mageeibacillus indolicus UPII9-5	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Mageeibacillus	NS	-0.065	3.409	4.9	1.197	-0.244	ND	ND	ND	ND	NS	ND	ND	ND	ND
Haemophilus parainfluenzae T3T1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Haemophilus	NS	4.247	3.406	11.872	1.741	4.856	ND	ND	ND	ND	NS	ND	ND	ND	ND
Collimonas fungivorans Ter331	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Collimonas	NS	-1.323	3.403	27.486	5.96	3.952	ND	ND	ND	ND	NS	ND	ND	ND	ND
Desulfurococcus mucosus DSM 2162	 Archaea	 Crenarchaeota	 Thermoprotei	 Desulfurococcales	 Desulfurococcaceae	 Desulfurococcus	SR	4.675	3.403	8.187	-0.303	0.107	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Acidithiobacillus caldus ATCC 51756	 Bacteria	 Proteobacteria	 Acidithiobacillia	 Acidithiobacillales	 Acidithiobacillaceae	 Acidithiobacillus	SOM	6.525	3.402	15.515	3.677	2.413	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Pseudomonas entomophila L48	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	0.777	3.396	27.331	5.675	5.04	ND	ND	ND	ND	NS	ND	ND	ND	ND
Candidatus Kinetoplastibacterium galatii TCC219	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Kinetoplastibacterium	0	0	NS	0.478	3.396	7.339	1.198	-0.037	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudoxanthomonas suwonensis 11-1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Pseudoxanthomonas	NS	-0.495	3.392	21.134	4.196	6.921	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bordetella avium 197N	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Bordetella	NS	-0.845	3.388	23.252	4.429	4.602	ND	ND	ND	ND	NS	ND	ND	ND	ND
Candidatus Ishikawaella capsulata Mpkobe	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Candidatus Ishikawaella	NS	2.204	3.388	8.754	3.34	0.89	ND	ND	ND	ND	NS	ND	ND	ND	ND
Mannheimia varigena USDA-ARS-USMARC-1296	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Mannheimia	NS	2.393	3.383	11.434	1.695	4.361	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lysobacter antibioticus	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Lysobacter	NS	-0.357	3.37	22.623	4.817	6.69	ND	ND	ND	ND	NS	ND	ND	ND	ND
Gynuella sunshinyii YC6258	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Saccharospirillaceae	 Gynuella	NS	-0.185	3.36	25.593	7.713	7.844	ND	ND	ND	ND	NS	ND	ND	ND	ND
alpha proteobacterium HIMB59	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Pelagibacterales	 Pelagibacteraceae	0	NS	-0.12	3.358	16.631	3.118	4.067	ND	ND	ND	ND	NS	ND	ND	ND	ND
Burkholderia cepacia ATCC 25416	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia,	NS	-0.613	3.349	31.296	5.589	4.641	ND	ND	ND	ND	NS	ND	ND	ND	ND
Martelella sp. AD-3	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Aurantimonadaceae	 Martelella	NS	-0.199	3.349	26.352	4.763	6.855	ND	ND	ND	ND	NS	ND	ND	ND	ND
[Pseudomonas syringae] pv. tomato str. DC3000	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	-0.779	3.348	26.458	5.48	2.235	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudomonas knackmussii B13	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	2.165	3.344	28.397	4.884	7.7	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pantoea sp. PSNIH1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Pantoea	NS	-0.425	3.337	21.81	4.508	4.092	ND	ND	ND	ND	NS	ND	ND	ND	ND
Alkalilimnicola ehrlichii MLHE-1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Ectothiorhodospiraceae	 Alkalilimnicola	SOM	5.308	3.331	20.644	4.722	8.07	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Geobacillus genomosp. 3	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Geobacillus	NS	2.635	3.329	24.519	4.324	4.322	ND	ND	ND	ND	NS	ND	ND	ND	ND
Clostridium botulinum B str. Eklund 17B (NRP)	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	1.951	3.322	12.72	2.206	1.328	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bacillus methanolicus MGA3	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	1.466	3.318	23.115	4.888	4.429	ND	ND	ND	ND	NS	ND	ND	ND	ND
Achromobacter xylosoxidans A8	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Achromobacter	NS	1.523	3.308	26.472	4.759	5.978	ND	ND	ND	ND	NS	ND	ND	ND	ND
Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Janthinobacterium	NS	-0.808	3.306	26.73	5.022	5.214	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudomonas resinovorans NBRC 106553	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	0.615	3.306	27.472	4.695	5.967	ND	ND	ND	ND	NS	ND	ND	ND	ND
Actinobacillus succinogenes 130Z	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Actinobacillus	NS	3.997	3.303	12.667	2.513	5.228	ND	ND	ND	ND	NS	ND	ND	ND	ND
Polynucleobacter necessarius subsp. necessarius STIR1	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Polynucleobacter	NS	0.085	3.295	14.73	2.625	4.84	ND	ND	ND	ND	NS	ND	ND	ND	ND
Xenorhabdus bovienii SS-2004	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Xenorhabdus	NS	0.11	3.293	18.21	3.656	2.758	ND	ND	ND	ND	NS	ND	ND	ND	ND
Psychromonas ingrahamii 37	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Psychromonadaceae	 Psychromonas	NS	0.217	3.288	20.765	5.192	6.792	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus reuteri JCM 1112	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	1.275	3.288	5.539	0.881	1.024	ND	ND	ND	ND	NS	ND	ND	ND	ND
Xylella fastidiosa 9a5c	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xylella	NS	-0.511	3.274	15.284	4.829	4.531	ND	ND	ND	ND	NS	ND	ND	ND	ND
Vibrio anguillarum 775	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Vibrio	NS	-0.659	3.271	15.291	3.632	7.912	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pantoea vagans C9-1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Pantoea	NS	0.501	3.248	24.114	5.074	4.484	ND	ND	ND	ND	NS	ND	ND	ND	ND
Cupriavidus basilensis	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Cupriavidus	NS	0.742	3.244	29.132	5.628	4.57	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudomonas fluorescens Pf0-1	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	1.242	3.243	28.735	5.88	5.141	ND	ND	ND	ND	NS	ND	ND	ND	ND
Sphingopyxis alaskensis RB2256	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingopyxis	NS	0.725	3.238	21.497	4.579	6.916	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bacillus mycoides	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus,	NS	2.735	3.233	21.878	4.845	3.761	ND	ND	ND	ND	NS	ND	ND	ND	ND
Xanthomonas campestris	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Xanthomonas	NS	-1.519	3.224	23.001	4.821	5.525	ND	ND	ND	ND	NS	ND	ND	ND	ND
Comamonas testosteroni CNB-2	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Comamonas	NS	1.166	3.216	26.537	4.72	7.505	ND	ND	ND	ND	NS	ND	ND	ND	ND
Comamonas testosteroni TK102	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Comamonas	NS	1.328	3.216	26.033	4.72	5.583	ND	ND	ND	ND	NS	ND	ND	ND	ND
Mycobacterium haemophilum DSM 44634	 Bacteria	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	0	NS	1.634	3.215	24.991	5.454	3.241	ND	ND	ND	ND	NS	ND	ND	ND	ND
Dyella japonica A8	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dyella	NS	1.478	3.212	23.242	3.868	7.626	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pandoraea apista	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Pandoraea	NS	1.058	3.209	26.744	4.655	5.513	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudomonas alkylphenolia	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	0.737	3.204	26.903	3.95	7.211	ND	ND	ND	ND	NS	ND	ND	ND	ND
Haliscomenobacter hydrossis DSM 1100	 Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Saprospiraceae	 Haliscomenobacter	NS	1.252	3.198	24.939	4.887	3.585	ND	ND	ND	ND	NS	ND	ND	ND	ND
Polaromonas sp. JS666	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Polaromonas	NS	0.935	3.197	26.881	5.628	3.817	ND	ND	ND	ND	NS	ND	ND	ND	ND
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 sulfur-oxidizing symbionts	 Candidatus Ruthia	0	Sur	8.87	3.195	14.853	4.784	5.07	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Ralstonia solanacearum GMI1000	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Ralstonia	NS	1.045	3.193	26.684	4.64	4.542	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudomonas azotoformans	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	NS	-0.126	3.192	28.611	6.025	6.216	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acidipropionibacterium acidipropionici ATCC 4875	 Bacteria	 Actinobacteria	 Propionibacteriales	 Propionibacteriaceae	 Propionibacterium	0	NS	2.61	3.186	20.042	4.947	3.462	ND	ND	ND	ND	NS	ND	ND	ND	ND
Janthinobacterium sp. B9-8	 Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Janthinobacterium	NS	0.097	3.184	20.784	5.532	6.999	ND	ND	ND	ND	NS	ND	ND	ND	ND
Erwinia pyrifoliae Ep1/96	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Erwinia	NS	-0.642	3.184	18.866	4.779	4.194	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acinetobacter baumannii ACICU	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter,	NS	-0.989	3.183	22.501	3.762	2.227	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thermoanaerobacter sp. X514	 Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Thermoanaerobacter	NS	2.73	3.182	10.871	3.088	0.867	ND	ND	ND	ND	NS	ND	ND	ND	ND
Kyrpidia tusciae DSM 2912	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae	 Kyrpidia	Sur	4.767	3.176	22.847	5.412	4.391	ND	ND	ND	ND	Sur	ND	ND	ND	ND
