Specie 	Kigdom 	Phylum 	Class 	Order 	Family 	Genus 	S_guild	MEBS_S	MEBS_CH4	MEBS_N	MEBS_O	MEBS_Fe	ROC_Fe	ROC_CH4	ROC_O	ROC_N	ROC_S	CAT_N	CAT_O	CAT_M	Cat_Fe
[Clostridium] stercorarium subsp. stercorarium DSM 8532	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	NS	0.654	8.877	11.381	4.275	1.36	ND	ND	ND	ND	NS	ND	ND	ND	ND
Haloterrigena turkmenica DSM 5511	 Archaea	 Euryarchaeota	 Halobacteria	 Natrialbales	 Natrialbaceae	 Haloterrigena	NS	1.924	8.844	23.613	4.208	1.21	ND	ND	ND	ND	NS	ND	ND	ND	ND
Dinoroseobacter shibae DFL 12 = DSM 16493	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Dinoroseobacter	NS	2.934	8.813	29.429	7.207	7.102	ND	ND	ND	ND	NS	ND	ND	ND	ND
Roseobacter litoralis Och 149	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Roseobacter	NS	2.913	8.813	28.57	7.207	5.965	ND	ND	ND	ND	NS	ND	ND	ND	ND
Desulfotalea psychrophila LSv54	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 Desulfobulbaceae	 Desulfotalea	SRB	10.151	8.728	16.238	2.08	4.866	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Flavonifractor plautii	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Flavonifractor	0	NS	1.021	8.709	15.924	4.513	1.858	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acaryochloris marina MBIC11017	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Acaryochloris	0	NS	1.812	8.706	26.878	8.426	6.37	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Ruminiclostridium thermocellum ATCC 27405	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	NS	2.593	8.69	13.452	5.557	1.48	ND	ND	ND	ND	NS	ND	ND	ND	ND
Desulfohalobium retbaense DSM 5692	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfohalobiaceae	 Desulfohalobium	SRB	11.511	8.685	14.632	3.521	4.749	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Thermovibrio ammonificans HB-1	 Bacteria	 Aquificae	 Desulfurobacteriales	 Desulfurobacteriaceae	 Thermovibrio	0	SRB/SR	7.886	8.662	12.449	3.023	4.469	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Halothece sp. PCC 7418	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Halothece cluster	 Halothece	Sur	4.566	8.616	25.066	9.502	4.322	ND	ND	ND	ND	Sur	ND	Our	ND	ND
Selenomonas sp. oral taxon 478	 Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Veillonellaceae	 Selenomonas	Sur	4.684	8.606	13.116	3.714	3.25	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Crinalium epipsammum PCC 9333	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Oscillatoriales	 Crinalium	0	NS	2.071	8.579	24.856	8.039	3.959	ND	ND	ND	ND	NS	ND	Our	ND	ND
Halalkalicoccus jeotgali B3	 Archaea	 Euryarchaeota	 Halobacteria	 Halobacteriales	 Halobacteriaceae	 Halalkalicoccus	NS	1.371	8.535	23.935	4.208	2.619	ND	ND	ND	ND	NS	ND	ND	ND	ND
Desulfovibrio vulgaris str. 'Miyazaki F'	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	SRB	11.093	8.504	17.517	7.029	5.557	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Synechococcus sp. PCC 7003	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Synechococcus	0	NS	4.198	8.368	22.216	8.956	4.042	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Thermococcus nautili	 Archaea	 Euryarchaeota	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	SR	5.856	8.355	9.01	0.384	0.291	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Magnetococcus marinus MC-1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Magnetococcales	 Magnetococcaceae	 Magnetococcus	Sur	6.864	8.319	21.441	6.504	7.702	ND	ND	ND	ND	Sur	ND	ND	ND	Feur
Dactylococcopsis salina PCC 8305	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Dactylococcopsis	0	NS	2.819	8.299	20.98	9.455	4.162	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Pelobacter propionicus DSM 2379	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Desulfuromonadaceae	 Pelobacter	SR	5.176	8.294	18.393	5.136	4.3	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Synechococcus sp. JA-3-3Ab	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Synechococcus	0	NS	4.078	8.207	20.288	8.473	3.491	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Pleurocapsa sp. PCC 7327	 Bacteria	 Cyanobacteria	 Pleurocapsales	 Pleurocapsa	0	0	NS	3.787	8.189	27.514	7.789	4.831	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Desulfovibrio vulgaris DP4	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	SRB	11.442	8.174	16.291	6.719	6.799	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Persephonella marina EX-H1	 Bacteria	 Aquificae	 Aquificales	 Hydrogenothermaceae	 Persephonella	0	CLSB	9.754	8.11	16.587	4.476	7.604	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Syntrophothermus lipocalidus DSM 12680	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Syntrophomonadaceae	 Syntrophothermus	Sur	5.505	8.079	14.583	3.874	1.819	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Salinarchaeum sp. Harcht-Bsk1	 Archaea	 Euryarchaeota	 Halobacteria	 Natrialbales	 Natrialbaceae	 Salinarchaeum	NS	-1.631	8.064	17.39	3.56	2.619	ND	ND	ND	ND	NS	ND	ND	ND	ND
Caldicellulosiruptor obsidiansis OB47	 Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacterales Family III. Incertae Sedis	 Caldicellulosiruptor	Sur	4.799	8.064	9.938	1.439	0.618	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Clostridium butyricum	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	2.169	8.058	14.936	4.843	0.937	ND	ND	ND	ND	NS	ND	ND	ND	ND
Synechocystis sp. PCC 6714	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Synechocystis	0	NS	4.479	8.012	22.047	8.878	3.799	ND	ND	Oxli	ND	NS	ND	Oxli	ND	ND
Synechocystis sp. PCC 6803	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Synechocystis	0	Sur	4.842	8.012	21.878	8.878	4.291	ND	ND	Oxli	ND	Sur	ND	Oxli	ND	ND
Natronobacterium gregoryi SP2	 Archaea	 Euryarchaeota	 Halobacteria	 Natrialbales	 Natrialbaceae	 Natronobacterium	NS	3.626	8.005	16.982	2.804	2.543	ND	ND	ND	ND	NS	ND	ND	ND	ND
Hydrogenobacter thermophilus TK-6	 Bacteria	 Aquificae	 Aquificales	 Aquificaceae	 Hydrogenobacter	0	Sur	10.157	7.975	20.135	8.193	4.798	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Desulfovibrio fairfieldensis	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfovibrionales	 Desulfovibrionaceae	 Desulfovibrio	SRB	10.955	7.956	14.703	2.296	6.337	ND	ND	ND	ND	Suli	ND	ND	ND	ND
Calditerrivibrio nitroreducens DSM 19672	 Bacteria	 Deferribacteres	 Deferribacterales	 Deferribacteraceae	0	0	Sur	5.837	7.926	17.019	4.734	5.457	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Geobacillus sp. Y4.1MC1	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Geobacillus	Sur	4.774	7.92	24.059	4.371	4.262	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Cyanobacterium aponinum PCC 10605	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Cyanobacterium	0	NS	3.803	7.917	22.359	8.934	4.042	ND	ND	ND	ND	NS	ND	Our	ND	ND
Cyanothece sp. PCC 7425	 Bacteria	 Cyanobacteria	 Oscillatoriophycideae	 Chroococcales	 Cyanothece	0	NS	3.796	7.896	28.196	9.133	4.182	ND	ND	ND	ND	NS	ND	Our	ND	ND
Clostridium botulinum E3 str. Alaska E43	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	2.094	7.882	12.395	2.376	0.766	ND	ND	ND	ND	NS	ND	ND	ND	ND
[Clostridium] cellulolyticum H10	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	NS	2.986	7.865	11.274	2.463	1.153	ND	ND	ND	ND	NS	ND	ND	ND	ND
Clostridium pasteurianum BC1	 Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	NS	3.184	7.862	19.757	4.936	1.48	ND	ND	ND	ND	NS	ND	ND	ND	ND
Thermofilum pendens Hrk 5	 Archaea	 Crenarchaeota	 Thermoprotei	 Thermoproteales	 Thermofilaceae	 Thermofilum	Sur	7.115	7.838	9.129	0.221	0.871	ND	ND	ND	ND	Sur	ND	ND	ND	ND
