ID 	MSL	SS	SS_pos 	SS_2014	biome	feature	material	env_package	location	latitude	longitude	depth
4479361.3	132	7.933	14.382	14.885	Subtropical and temperate rainforests or woodlands	Zoological garden	compost	built environment	Sao Paulo Zoo Park	-23	-46	0
4539510.3	109	7.907	14.39	15.354	oceanic mesopelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	200
4453434.3	113	7.879	14.449	15.291	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4477789.3	141	7.876	14.175	14.715	Tropical and subtropical moist broadleaf forest biome	agricultural soil	bulk soil	soil	Amazonia	-11.6832502	-55.8357663	0
4516290.3	115	7.848	14.37	15.11	aquatic biome	freshwater habitat	eutrophic water	water	Valencia	39.3037632	-0.3226403	0
4450126.3	120	7.825	14.359	15.498	Tundra biome	peat soil	peat soil	soil	Ny Ãlesund, Svalbard	80.60906667	13.48425	0
4539509.3	102	7.813	14.248	15.754	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	150
4478038.3	141	7.807	14.211	13.719	Tropical and subtropical moist broadleaf forest biome	agricultural soil	bulk soil	soil	Amazonia	-11.7412664	-56.2533385	0
4539505.3	108	7.802	14.228	14.115	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	120
4510168.3	32	7.781	13.676	13.575	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.74491944	-88.374242	0
4548350.3	33	7.781	13.676	13.666	marine biome	tidal pool	sediment	microbial mat|biofilm	Schiermonnikoog	53.4785962	6.1560311	0
4441582.3	236	7.773	13.853	15.296	marine habitat	marine habitat	marine habitat	water	Bay of Fundy, Nova Scotia	44.112	-64.9467	1
4510170.3	32	7.772	13.667	13.477	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.672508	-88.435906	0
4546289.3	30	7.771	13.667	13.446	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	8.5580384	110.6420599	0
4516637.3	29	7.762	13.676	13.544	air	air	air	air	Beijing	40.0047	116.3261	0
4502930.3	31	7.762	13.676	13.666	Prairie Division (250)	field	arable soil	plant-associated	Wrights IL	39.3767667	-90.3235	0
4539528.3	25	7.755	13.667	13.666	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.771111	-92.961667	0
4516803.3	29	7.753	13.667	13.446	air	air	air	air	Beijing	40.0047	116.3261	0
4546372.3	29	7.753	13.667	13.453	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	3.5580384	105.6420599	0
4494855.3	32	7.753	13.667	13.544	aquatic biome	wastewater treatment plant	activated sludge	wastewater|sludge	Zhecheng Henan province	34.08	115.29	0
4502924.3	31	7.753	13.667	13.666	Prairie Division (250)	field	arable soil	plant-associated	Auburn, IL	39.5853	-89.7607167	0
4453436.3	111	7.746	14.302	15.291	Temperate grasslands	prairie	soil	soil	Rothamsted	51.481481	0.222231	0
4539504.3	109	7.737	14.163	14.147	oceanic epipelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	80
