ID 	Public/private	SS	SS_pos 	SS_2014_pos	SS_2014_up	biome	feature	material	env_package	location	latitude	longitude	depth
4440421.3	Public	-1.067	0.542	0.517	-0.097	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440422.3	Public	-0.483	4.197	4.844	3.099	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440423.3	Public	3.519	8.982	10.342	8.089	freshwater	freshwater	freshwater	water	0	0	0	0
4440424.3	Public	0.495	0.821	0.805	0.82	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440425.3	Public	3.452	7.711	8.572	7.168	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440426.3	Public	-0.069	2.63	2.703	2.022	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440427.3	Public	-0.239	0.224	0.177	-0.022	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440428.3	Public	0.04	1.453	1.986	1.041	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440429.3	Public	0.587	3.478	3.926	3.386	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440430.3	Public	1.368	4.907	6.931	5.647	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440431.3	Public	0.247	0.591	0.617	0.456	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440432.3	Public	0.225	0.686	0.824	0.969	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440433.3	Public	0.283	4.243	4.526	3.717	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440434.3	Public	1.144	3.187	3.825	3.01	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440435.3	Public	0.857	4.48	5.08	3.995	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440436.3	Public	-0.479	1.002	1.905	1.223	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
